HW1 (50%/3),HW2 (50%/3),HW3 (50%/3),FinalProject (50%)
0,0,0,0
10,10,10,9.5
10,9.25,9,7
10,9.5,9.85,8
10,9.75,9.75,9
10,10,10,8.5
10,10,9.75,9
10,9.5,9.7,9
10,9.75,9.35,9
10,10,9.6,8
9,9.25,9.9,7.5
10,10,10,8
10,8.5,5.75,7
10,9.5,9.75,8
9.25,10,10,8.5
10,10,10,10
8.5,8.25,0,0
10,10,9.9,9
10,9.5,9.45,9
9.75,10,10,9
10,10,9,10
10,9.75,10,10
9.75,9.5,5.25,6.5
9.75,9.75,10,9.5
9.5,10,10,7.5
10,9.25,9.9,9
10,10,10,7.5
9.5,10,9.75,9.5
9.75,10,9.4,7
1.5,5.5,9,7.5
10,8,10,9
10,9,10,9
9.75,10,9.6,7
10,10,10,7
8.75,10,8.25,7.5
0,9,9.55,6.5
9.5,10,9.75,6.5
9.75,9.5,9.2,7
0,9.75,0,8.5
10,9.5,9.8,6.5
10,10,10,9
9.5,10,9,8.5
10,10,10,10
0,8.5,9.6,9
9.75,10,10,8
